"account_number","dealer_name","street_address_1","street_address_2","postal_code","city","telephone_1","state_province","country","email","website"
"001143","GUERRIER - VELOLAND - SARL ACC","44 RUE DU PLATEAU","PARC D ACTIVITE DE LA NEUVE","01440","VIRIAT","04.74.22.29.48","","France","",""
"101216","AC CYCLES & MOTOS","45 AVENUE ALBERT THOMAS","","03100","MONTLUCON","04.70.03.86.64","","France","",""
"101756","BOURBON CYCLES","19 AVENUE EMILE GUILLAUMIN","","03160","BOURBON L'ARCHAMBAULT","04 70 66 36 57","","France","",""
"101524","DYNAMIC VELO","13 BIS RUE BALMENS","","05000","GAP","04.92.53.79.78","","France","",""
"101066","MOUNTAIN CYCLES","RUE DES FONTAINIERS","CENTRE COMMERCIAL SUD","05100","BRIANCON","09.64.28.13.21","","France","",""
"100529","VELO CONCEPT","36 BD RAIMBALDI","","06000","NICE","04.93.80.09.95","","France","",""
"101739","BR CYCLES - RS CYCLES","3 RUE DE LA VERRERIE","","06150","LA BOCCA","06.61.11.42.45","","France","",""
"000003","BIKE THE PLANET SARL","CYCLES ANTIPOLIS","14 AVENUE PHILIPPE ROCHAT","06600","ANTIBES","04.93.33.94.99","","France","",""
"001912","VELO POLE 2000","CULTURE VELO ST PERAY","POLE NORD 2000 - 1 AVENUE DENIS PAPIN","07130","ST PERAY","04.75.40.42.08","","France","",""
"101828","CYCLES ZANET EURL","ALLEE DE L'ANGELIQUE","GRAND PARC","08000","LA FRANCHEVILLE","03 24 52 05 87","","France","",""
"000128","FUN SPORTS CYCLES","SARL SPORTS DIFF","14 RUE JEAN MONNET","11000","CARCASSONNE","04.68.71.67.06","","France","",""
"100120","EVASION DEUX ROUES","","85 ALLEE D'IENA","11000","CARCASSONNE","04.68.11.90.40","","France","",""
"002091","RICCI SARL","PARC GRANET - BAT C","510 AVENUE DE BAGATELLE","13090","AIX EN PROVENCE","04.42.59.03.64","","France","",""
"101060","TINABICI SARL","CYCLES TINAZZI THIERRY","RN 113 - QUARTIER DES CADESTEAUX","13127","VITROLLES","09.61.22.31.56","","France","",""
"001436","R.S. CYCLES - ARLES","ZONE FOURCHON","QUARTIER DU PONT DE GLEIZ","13200","ARLES","04.90.49.94.02","","France","",""
"000315","TINAZZI - SOFRETIN SPORTS","CD 2 - CAMP MAJOR - ZI LA BASTIDONNE","","13400","AUBAGNE","04.91.27.19.20","","France","",""
"000294","CYCLES 14 ST VIGOR","BOULEVARD WINSTON CHURCHILL","14400","ST VIGOR LE GRAND","02.31.92.27.75","","France","",""
"101439","CHRISTIAN MICHELOT SARL","BOUTICYCLE ANGOULEME","1324 RUE DES PLATANES - LES CHAUVAUDS","16430","CHAMPNIERS","05.45.68.93.64","","France","",""
"101275","MAZEROLLES  CYCLES","CYCLEXPERT  SARL","41 AVENUE DU CDT LISIACK","17440","AYTRE","05.46.44.28.08","","France","",""
"101676","PURCYCLE SARL","24 BOULEVARD JURANVILLE","","18000","BOURGES","02.48.02.55.80","","France","",""
"000402","SPECIALISTE VELOS","Z.A.C. DU MAZAUD","RUE ARMAND SOURIE","19100","BRIVE LA GAILLARDE","05.55.87.19.02","","France","",""
"100272","DOUHET FRANCOIS CYCLES","AVENUE TURGOT","","19200","USSEL","05.55.72.90.00","","France","",""
"101699","CYCLES DUTRION EURL","29 RUE PASTEUR","","21000","DIJON","03.80.66.54.50","","France","",""
"101200","CYCLE 22","15 RUE DEROYER","","22100","DINAN","02 96 85 07 60","","France","",""
"100443","INTERSPORT GUINGAMP 00380 000","C. SPORTS SARL","ZONE INTERMARCHE - SAINT AGATHON","22200","GUINGAMP","02.96.44.78.78","","France","",""
"101838","ARMOR CYCLES SARL","12 RUE D'ARMOR","","22400","LAMBALLE","02 96 31 04 23","","France","",""
"101588","CYCL'PARTNERS","CULTURE VELO SAINT BRIEUC","2 RUE CLAUDE SAUTEL - ZAC DE BREZILLET","22950","TREGUEUX","02.96.78.90.00","","France","",""
"100841","L R G CYCLES","CULTURE VELO PERIGUEUX","ZONE COMMERCIALE DU PONTEIX 2","24750","BOULAZAC","05.53.09.25.15","","France","",""
"002029","RACLE CYCLES  SARL","5, RUE ROBERT SCHUMANN","LES GRANDS PLANCHANTS","25300","PONTARLIER","03.81.46.87.54","","France","",""
"101775","FRED CYCLES","27 ROUTE DE RANS","","25610","ARC ET SENAN","03 81 57 50 58","","France","",""
"101708","PONTIA'S BIKE","CULTURE VELO MONTELIMAR","9  ALLEE HISPANO SUTZA - ZAC FORTUNEAU","26200","MONTELIMAR","04.75.91.70.11","","France","",""
"101880","LE MAILLON FORT","SARL PASCALAIN","47 RUE DE COCHEREL -  ZI NETREVILLE","27000","EVREUX","09 71 47 49 91","","France","",""
"100260","VERNON CYCLES","RUE LOUIS BLERIOT","","27950","ST MARCEL","02.32.21.24.08","","France","",""
"000851","VELO SPRINT  BREST","MR RIOU PIERRE","18, RUE DU PILIER ROUGE","29200","BREST","02.98.44.14.77","","France","",""
"101592","CYCLES PAB EURL","CYCLEXPERTS BREST","5  RUE ROSEMONDE GERARD","29850","GOUESNOU","02.98.42.58.57","","France","",""
"100873","EURL DCG","CYCLES  PASSIEU","2040 AVENUE DU MARECHAL JUIN","30000","NIMES","04.66.21.09.16","","France","",""
"100674","SPORT PASSION G.S.B.","CULTURE VELO ALES","287 QUAI BILINA","30100","ALES","04.66.86.04.73","","France","",""
"101800","ID CYCLES - PRO-CYCLES","IMMEUBLE GRAND ANGLES - P","AVENUE DE LA 2EME DB","30133","LES ANGLES","04.90.02.61.32","","France","",""
"100868","ESPACE CYCLE MOTARD","SARL SC VICTORIA FRANCE","170 RUE DE PERIOLE","31500","TOULOUSE","05.61.48.31.44","","France","",""
"101542","VERTICAL BIKE SARL","21 RUE PIERRE DE FERMAT","ZAC DE LEONIS","31600","MURET","05.34.47.69.12","","France","",""
"100597","JOLLY CYCLES SARL","P A - DE TAURE II -","AVENUE LEONARD DE VINCI","31880","LA SALVETAT SAINT GILLES","05.34.57.21.25","","France","",""
"000833","FOUCHY ET FILS","445 447 ROUTE DE TOULOUSE","","33140","VILLENAVE D'ORNON","05.56.37.32.09","","France","",""
