"account_number","dealer_name","street_address_1","street_address_2","postal_code","city","telephone_1","state_province","country","email","website"
"","GO Sport The Dubai Mall","Fashion avenue","The Dubai Mall","","Dubai","+971-4-325-3595","","UAE","",""
"","GO Sport Yas Mall","Yas Mall Italian Boulevard","Yas Mall","","Abu Dhabi","+971-2-565-0812","","UAE","",""
"","GO Sport Abu Dhabi Mall","3rd Floor","Abu Dhabi Mall","","Abu Dhabi","+971-2-645-4595","","UAE","",""
"","GO Sport Bawabat Al Sharq Mall","Baniyas | Level 1","Bawabat Al Sharq Mall","","Abu Dhabi","+971-2-856-8240","","UAE","",""
"","The Cycle Hub","Dubai Motor City Grandstand","Shop B6","","Dubai","04 425 6555","","UAE","sam@thecyclehub.com","http://www.thecyclehub.com/"
"","SPORTZ UNLIMITED","Sheikh Zayed Road","(Next to BMW Showroom)","","Dubai","+971 4 3391333 & +971 4 3388644","","UAE","info@kazemco.com & ali@kazemco.com","http://www.kazemco.com/ & www.sportzunlimited.ae"
"","GO Sport Muscat Grand Mall","1st floor","Muscat Grand Mall","","Muscat","+968-24-399955","","Oman","",""
"","GO Sport Villaggio Mall","Villagio Mall (Gate 4)","","","Doha","+971-4415-7460","","Qatar","",""
"","GO Sport City Center Doha","Doha City Centre (3rd Floor)","","","Doha","+974-4463-1644","","Qatar","",""
"","Carbon Wheels Qatar","Al Maha Center 10","Salwa Road","","Doha","+974 44 41 90 48","","Qatar","info@carbonwheelsqtr.com","http://www.carbonwheelsqtr.com"
"","Wheels Trading EST","Prince Mamdouh Street","PO Box 56908","11564","Riyadh","009661 4630240","","Saudi Arabia","abdulkareem@wheelsbikes.com","http://www.wheelsbikes.com/"
"","Trilife Sports","Building 19, road 55","block 1056","","Zallaq","+ 973 7733 3777","","Bahrain","","http://www.gotrilife.com/"
