"account_number","dealer_name","street_address_1","street_address_2","postal_code","city","telephone_1","state_province","country","email","website"
"","CONTENDER BICYCLES","989 East 900 South","","84105","Salt Lake City","801.364.0344","UT","USA","","contenderbicycles.com"
"","R & A CYCLES","105 5th Avenue","","11217","Brooklyn","718.473.0285","NY","USA","","www.racycles.com"
"","VELO PASADENA","2562 East Colorado Boulevard","","91107","Pasadena","626.304.0064","CA","USA","","www.velopasadena.com"
"","LEUCADIA CYCLERY","823 North Vulcan Avenue","","92024","Leucadia","760.436.2786","CA","USA","","www.leucadiabikes.com"
"","ATA CYCLES","93 Thoreau Street","","01742","Concord","978.369.5960","MA","USA","","www.atabike.com"
"","RIVER CITY BICYCLES","706 SE MLK Boulevard","","97214","Portland","503.233.5573","OR","USA","","www.rivercitybicycles.com"
"","ALL 4 CYCLING","1430 S Dixie Hwy #104","","33146","Miami","305.666.5555","FL","USA","","all4cycling-usa.com"
"","WRENCH SCIENCE, INC.","1022 Murray Street","","94710","Berkeley","866.497.3624","CA","USA","","www.wrenchscience.com"
"","STUDIO VELO","31 Miller Avenue","","94941","Mill Valley","415.380.1882","CA","USA","","www.studiovelocycling.com"
"","SMART CYCLES INC.","303 Strawberry Hill Ave.","","06851","Norwalk","203.831.9144","CT","USA","","http://www.smartcycles.com"


"account_number","dealer_name","street_address_1","street_address_2","postal_code","city","telephone_1","state_province","country","email","website"
 
UAE
"","GO Sport The Dubai Mall","Fashion avenue","The Dubai Mall","","Dubai","+971-4-325-3595","","UAE","",""
"","GO Sport Yas Mall","Yas Mall Italian Boulevard","Yas Mall","","Abu Dhabi","+971-2-565-0812","","UAE","",""
"","GO Sport Abu Dhabi Mall","3rd Floor","Abu Dhabi Mall","","Abu Dhabi","+971-2-645-4595","","UAE","",""
"","GO Sport Bawabat Al Sharq Mall","Baniyas | Level 1","Bawabat Al Sharq Mall","","Abu Dhabi","+971-2-856-8240","","UAE","",""
"","The Cycle Hub","Dubai Motor City Grandstand","Shop B6","","Dubai","04 425 6555","","UAE","sam@thecyclehub.com","http://www.thecyclehub.com/"
"","SPORTZ UNLIMITED","Sheikh Zayed Road","(Next to BMW Showroom)","","Dubai","+971 4 3391333 & +971 4 3388644","","UAE","info@kazemco.com & ali@kazemco.com","http://www.kazemco.com/ & www.sportzunlimited.ae"

Oman 
"","GO Sport Muscat Grand Mall","1st floor","Muscat Grand Mall","","Muscat","+968-24-399955","","Oman","",""

Qatar
"","GO Sport Villaggio Mall","Villagio Mall (Gate 4)","","","Doha","+971-4415-7460","","Qatar","",""
"","GO Sport City Center Doha","Doha City Centre (3rd Floor)","","","Doha","+974-4463-1644","","Qatar","",""
"","Carbon Wheels Qatar","Al Maha Center 10","Salwa Road","","Doha","+974 44 41 90 48","","Qatar","info@carbonwheelsqtr.com","http://www.carbonwheelsqtr.com"

Saudi Arabia
"","Wheels Trading EST","Prince Mamdouh Street","PO Box 56908","11564","Riyadh","009661 4630240","","Saudi Arabia","abdulkareem@wheelsbikes.com","http://www.wheelsbikes.com/"


BAHRAIN
 
Company Name: Trilife Sports
Address: Building 19, road 55, block 1056, Zallaq, bahrain
                   Az Zallaq, Al Mintaqah Al Gharbiyah, Bahrain
 
Contact Number: + 973 7733 3777
Website: http://www.gotrilife.com/
